Date,Forecast,Lower_95,Upper_95
2025-01-31,109.33901970807355,105.48359090058872,113.19444851555838
2025-02-28,104.94591133088815,100.12612139811432,109.76570126366198
2025-03-31,99.17680825201016,93.88161047835771,104.47200602566261
2025-04-30,95.19609151242177,89.64603270592414,100.7461503189194
2025-05-31,94.24638252214925,88.55499428114797,99.93777076315052
2025-06-30,96.05010292178676,90.27904572420181,101.82116011937171
2025-07-31,96.71759592200196,90.90123942674002,102.5339524172639
2025-08-31,95.49922293904169,89.65698768415399,101.34145819392938
2025-09-30,92.85397710633595,86.99691866816593,98.71103554450596
2025-10-31,94.34400554309036,88.47844379519164,100.20956729098909
2025-11-30,97.21225002414725,91.3418062067676,103.0826938415269
2025-12-31,101.20032733257669,95.3270791718737,107.07357549327968
